
 Word-based means:
 SFD 195  FFD 194  GD 201  TT 208  PrF 0.86 Pr1 0.77 Pr2 0.04 PrS 0.19 cash
 SFD 181  FFD 181  GD 181  TT 189  PrF 0.53 Pr1 0.52 Pr2 0.00 PrS 0.48 in
 SFD 167  FFD 167  GD 169  TT 173  PrF 0.56 Pr1 0.54 Pr2 0.01 PrS 0.45 his
 SFD 154  FFD 154  GD 154  TT 173  PrF 0.78 Pr1 0.75 Pr2 0.00 PrS 0.25 was
 SFD 170  FFD 170  GD 189  TT 217  PrF 0.56 Pr1 0.48 Pr2 0.03 PrS 0.49 also
 SFD 190  FFD 190  GD 190  TT 191  PrF 0.39 Pr1 0.36 Pr2 0.00 PrS 0.64 a
 SFD 182  FFD 182  GD 255  TT 282  PrF 0.94 Pr1 0.60 Pr2 0.33 PrS 0.07 beaver
 SFD 180  FFD 178  GD 186  TT 191  PrF 0.72 Pr1 0.66 Pr2 0.03 PrS 0.31 that
 SFD 199  FFD 197  GD 216  TT 220  PrF 0.84 Pr1 0.70 Pr2 0.09 PrS 0.21 paced
 SFD 174  FFD 174  GD 174  TT 186  PrF 0.56 Pr1 0.55 Pr2 0.00 PrS 0.45 on
 SFD 158  FFD 158  GD 160  TT 160  PrF 0.57 Pr1 0.55 Pr2 0.01 PrS 0.44 the
 SFD 140  FFD 140  GD 163  TT 173  PrF 0.67 Pr1 0.61 Pr2 0.06 PrS 0.33 would
 SFD 224  FFD 223  GD 230  TT 226  PrF 0.40 Pr1 0.37 Pr2 0.01 PrS 0.62 sit
 SFD 183  FFD 177  GD 230  TT 252  PrF 0.94 Pr1 0.66 Pr2 0.26 PrS 0.08 making
 SFD 189  FFD 188  GD 196  TT 214  PrF 0.84 Pr1 0.72 Pr2 0.05 PrS 0.23 lace
 SFD 161  FFD 161  GD 161  TT 167  PrF 0.51 Pr1 0.49 Pr2 0.00 PrS 0.51 in
 SFD 169  FFD 169  GD 169  TT 175  PrF 0.58 Pr1 0.57 Pr2 0.00 PrS 0.43 the
 SFD 128  FFD 129  GD 132  TT 161  PrF 0.57 Pr1 0.50 Pr2 0.01 PrS 0.49 had
 SFD 199  FFD 196  GD 221  TT 239  PrF 0.71 Pr1 0.63 Pr2 0.06 PrS 0.31 often
 SFD 168  FFD 167  GD 169  TT 180  PrF 0.75 Pr1 0.69 Pr2 0.01 PrS 0.30 the
 SFD 207  FFD 199  GD 238  TT 262  PrF 0.90 Pr1 0.70 Pr2 0.18 PrS 0.12 bellman
 SFD 183  FFD 183  GD 192  TT 210  PrF 0.75 Pr1 0.69 Pr2 0.03 PrS 0.28 said
 SFD 183  FFD 181  GD 198  TT 214  PrF 0.86 Pr1 0.76 Pr2 0.08 PrS 0.16 saved
 SFD 188  FFD 188  GD 188  TT 187  PrF 0.67 Pr1 0.62 Pr2 0.00 PrS 0.38 them
 SFD 175  FFD 174  GD 182  TT 191  PrF 0.63 Pr1 0.59 Pr2 0.04 PrS 0.37 from
 SFD 180  FFD 179  GD 184  TT 210  PrF 0.83 Pr1 0.79 Pr2 0.04 PrS 0.17 none
 SFD 164  FFD 167  GD 174  TT 181  PrF 0.41 Pr1 0.34 Pr2 0.02 PrS 0.64 of
 SFD 174  FFD 175  GD 179  TT 201  PrF 0.75 Pr1 0.69 Pr2 0.02 PrS 0.29 the
 SFD 198  FFD 193  GD 237  TT 254  PrF 0.96 Pr1 0.76 Pr2 0.19 PrS 0.05 sailors
 SFD 174  FFD 174  GD 181  TT 181  PrF 0.61 Pr1 0.57 Pr2 0.03 PrS 0.40 knew
 SFD 163  FFD 162  GD 164  TT 172  PrF 0.75 Pr1 0.74 Pr2 0.01 PrS 0.25 was
 SFD 182  FFD 182  GD 182  TT 200  PrF 0.59 Pr1 0.39 Pr2 0.00 PrS 0.61 one
 SFD 178  FFD 180  GD 183  TT 219  PrF 0.71 Pr1 0.64 Pr2 0.02 PrS 0.34 who
 SFD 178  FFD 179  GD 184  TT 200  PrF 0.65 Pr1 0.60 Pr2 0.02 PrS 0.38 was
 SFD 197  FFD 194  GD 225  TT 247  PrF 0.92 Pr1 0.78 Pr2 0.13 PrS 0.09 famed
 SFD 183  FFD 183  GD 183  TT 191  PrF 0.63 Pr1 0.59 Pr2 0.00 PrS 0.41 for
 SFD 179  FFD 179  GD 179  TT 194  PrF 0.58 Pr1 0.54 Pr2 0.00 PrS 0.46 the
 SFD 203  FFD 197  GD 226  TT 233  PrF 0.93 Pr1 0.75 Pr2 0.16 PrS 0.09 number
 SFD 170  FFD 170  GD 170  TT 170  PrF 0.30 Pr1 0.30 Pr2 0.00 PrS 0.70 of
 SFD 165  FFD 162  GD 178  TT 181  PrF 0.88 Pr1 0.79 Pr2 0.08 PrS 0.13 forgot
 SFD 186  FFD 184  GD 199  TT 207  PrF 0.65 Pr1 0.60 Pr2 0.03 PrS 0.37 when
 SFD 176  FFD 176  GD 176  TT 174  PrF 0.53 Pr1 0.49 Pr2 0.00 PrS 0.51 he
 SFD 201  FFD 192  GD 238  TT 257  PrF 0.94 Pr1 0.72 Pr2 0.22 PrS 0.06 entered
 SFD 164  FFD 164  GD 164  TT 164  PrF 0.59 Pr1 0.59 Pr2 0.00 PrS 0.41 the
 SFD 181  FFD 179  GD 193  TT 194  PrF 0.98 Pr1 0.92 Pr2 0.06 PrS 0.02 umbrella
 SFD 186  FFD 186  GD 188  TT 195  PrF 0.58 Pr1 0.56 Pr2 0.01 PrS 0.43 his
 SFD 180  FFD 178  GD 230  TT 253  PrF 0.76 Pr1 0.55 Pr2 0.19 PrS 0.26 watch
 SFD 180  FFD 180  GD 180  TT 191  PrF 0.72 Pr1 0.66 Pr2 0.00 PrS 0.34 all
 SFD 175  FFD 176  GD 179  TT 190  PrF 0.70 Pr1 0.60 Pr2 0.02 PrS 0.38 his
 SFD 197  FFD 191  GD 224  TT 244  PrF 0.87 Pr1 0.71 Pr2 0.16 PrS 0.13 jewels
