
 Word-based means:
 SFD 399  FFD 366  GD 461  TT 609  PrF 1.00 Pr1 0.75 Pr2 0.25 PrS 0.00 while
 SFD 380  FFD 384  GD 408  TT 477  PrF 0.87 Pr1 0.72 Pr2 0.05 PrS 0.23 in
 SFD 298  FFD 330  GD 393  TT 456  PrF 0.82 Pr1 0.65 Pr2 0.14 PrS 0.21 a
 SFD 413  FFD 362  GD 591  TT 756  PrF 1.00 Pr1 0.54 Pr2 0.46 PrS 0.00 popular
 SFD 405  FFD 384  GD 420  TT 451  PrF 1.00 Pr1 0.86 Pr2 0.12 PrS 0.02 the
 SFD 468  FFD 374  GD 504  TT 608  PrF 1.00 Pr1 0.69 Pr2 0.31 PrS 0.00 beaver
 SFD 444  FFD 378  GD 469  TT 561  PrF 0.99 Pr1 0.73 Pr2 0.23 PrS 0.04 could
 SFD 390  FFD 363  GD 416  TT 505  PrF 0.96 Pr1 0.75 Pr2 0.15 PrS 0.10 well

 First-fixation landing-site distributions:
 0.00 0.01 0.08 0.23 0.25 0.28 0.14 0.01  beavers
 0.02 0.02 0.19 0.26 0.24 0.21 0.06  lesson
 0.07 0.14 0.36 0.35 0.07  part
 0.00 0.06 0.12 0.40 0.25 0.14 0.03  beaver
 0.13 0.21 0.39 0.27  had
 0.13 0.07 0.06 0.24 0.25 0.22 0.03 0.00  counted
 0.07 0.13 0.34 0.33 0.12  with
 0.13 0.01 0.01 0.03 0.14 0.25 0.22 0.10 0.07 0.03 0.00  scrupulous
 0.20 0.43 0.37  to
 0.20 0.14 0.19 0.27 0.15 0.05  every
 0.11 0.46 0.43  it
 0.19 0.06 0.12 0.21 0.27 0.14 0.01  fairly
 0.08 0.15 0.26 0.38 0.13  lost
 0.11 0.08 0.20 0.36 0.24 0.01  heart
 0.13 0.31 0.38 0.18  and
 0.12 0.09 0.05 0.05 0.27 0.26 0.13 0.02 0.01  outgrabe
 0.16 0.51 0.33  in
 0.05 0.29 0.50 0.15  the
 0.08 0.15 0.14 0.34 0.18 0.10  third
 0.07 0.01 0.03 0.03 0.12 0.23 0.28 0.15 0.07 0.00 0.00  repetition
 0.03 0.05 0.41 0.34 0.17  felt
 0.08 0.20 0.33 0.31 0.07  that
 0.20 0.33 0.47  in
 0.25 0.13 0.18 0.19 0.20 0.05  spite
 0.24 0.37 0.39  of
 0.16 0.27 0.33 0.24  all
 0.13 0.05 0.04 0.14 0.24 0.21 0.13 0.05 0.01  possible
 0.01 0.31 0.48 0.20  had
 0.09 0.07 0.06 0.25 0.23 0.22 0.07 0.01  somehow
 0.01 0.02 0.00 0.07 0.17 0.32 0.26 0.09 0.06 0.00  contrived
 0.18 0.47 0.35  to
 0.25 0.24 0.26 0.20 0.04  lose
 0.02 0.29 0.50 0.19  the
 0.08 0.18 0.31 0.31 0.11  only
 0.09 0.07 0.20 0.35 0.18 0.10  thing
 0.13 0.23 0.38 0.25  now
 0.19 0.21 0.41 0.20  was
 0.22 0.35 0.43  to
 0.24 0.13 0.32 0.21 0.09  rack
 0.13 0.23 0.47 0.17  its
 0.16 0.16 0.22 0.35 0.10  poor
 0.00 0.00 0.01 0.09 0.30 0.33 0.24 0.02 0.01 0.00  reckoning
 0.09 0.40 0.51  up
 0.25 0.19 0.41 0.16  the
 0.00 0.02 0.31 0.38 0.24 0.05  added
 0.28 0.29 0.42  to
 0.17 0.12 0.19 0.35 0.15 0.02  oneif
 0.12 0.14 0.29 0.31 0.13  that
 0.10 0.07 0.21 0.28 0.26 0.08  could
 0.16 0.30 0.30 0.23  but
 0.19 0.52 0.29  be
 0.04 0.07 0.40 0.35 0.14  said
 0.12 0.15 0.32 0.29 0.12  with
 0.12 0.18 0.27 0.32 0.11  ones
 0.10 0.03 0.10 0.16 0.30 0.23 0.05 0.02  fingers
 0.11 0.23 0.45 0.22  and
 0.03 0.12 0.30 0.30 0.25  with
 0.11 0.11 0.17 0.33 0.24 0.03  tears
 0.13 0.21 0.43 0.23  how
 0.22 0.44 0.34  in
 0.17 0.06 0.08 0.14 0.32 0.15 0.07 0.01  earlier
 0.05 0.28 0.49 0.17  had
 0.07 0.14 0.22 0.28 0.20 0.08  taken
 0.23 0.44 0.33  no
 0.24 0.06 0.19 0.25 0.20 0.06  pains
 0.13 0.19 0.28 0.29 0.11  with
 0.17 0.23 0.41 0.18  its
 0.01 0.03 0.27 0.41 0.22 0.06  thing
 0.10 0.31 0.33 0.26  can
 0.24 0.34 0.42  be
 0.20 0.18 0.21 0.30 0.11  done
 0.17 0.13 0.27 0.26 0.18  said
 0.14 0.21 0.39 0.26  the
 0.11 0.04 0.09 0.22 0.31 0.13 0.10 0.00  butcher
 0.47 0.53  i
 0.01 0.07 0.27 0.35 0.25 0.05  thing
 0.07 0.08 0.33 0.39 0.13  must
 0.26 0.41 0.33  be
 0.22 0.16 0.28 0.21 0.13  done
 0.33 0.67  i
 0.37 0.37 0.25  am
 0.01 0.04 0.27 0.31 0.30 0.06  thing
 0.07 0.07 0.23 0.32 0.20 0.11  shall
 0.29 0.33 0.39  be
 0.23 0.11 0.32 0.25 0.09  done
 0.08 0.10 0.23 0.30 0.24 0.04  bring
 0.25 0.40 0.34  me
 0.18 0.05 0.26 0.28 0.17 0.06  paper
 0.13 0.17 0.46 0.24  and
 0.00 0.15 0.39 0.34 0.11  best
 0.10 0.09 0.20 0.37 0.18 0.05  there
 0.23 0.43 0.34  is
 0.22 0.20 0.28 0.16 0.13  time
 0.22 0.39 0.40  to
 0.00 0.05 0.16 0.28 0.35 0.14 0.01  beaver
 0.01 0.05 0.12 0.19 0.30 0.24 0.05 0.03  brought
 0.07 0.04 0.21 0.25 0.31 0.12  paper
 0.05 0.02 0.02 0.12 0.19 0.31 0.17 0.08 0.02 0.01  portfolio
 0.04 0.20 0.43 0.32  ink
 0.23 0.36 0.41  in
 0.23 0.04 0.02 0.08 0.16 0.25 0.18 0.02 0.01 0.00  unfailing
 0.00 0.02 0.05 0.25 0.28 0.21 0.17 0.02  strange
 0.03 0.00 0.17 0.23 0.35 0.16 0.05  creepy
 0.03 0.01 0.03 0.08 0.21 0.28 0.25 0.04 0.05 0.02  creatures
 0.08 0.11 0.29 0.33 0.20  came
 0.10 0.27 0.43 0.21  out
 0.21 0.37 0.43  of
 0.17 0.11 0.15 0.35 0.18 0.03  their
 0.00 0.00 0.11 0.18 0.41 0.24 0.05 0.01  watched
 0.03 0.21 0.33 0.31 0.12  them
 0.14 0.19 0.20 0.30 0.18  with
 0.10 0.06 0.04 0.08 0.20 0.26 0.15 0.08 0.03 0.00  wondering
 0.00 0.00 0.02 0.07 0.16 0.38 0.27 0.07 0.03 0.00  engrossed
 0.07 0.30 0.33 0.30  was
 0.23 0.22 0.40 0.14  the
 0.14 0.04 0.10 0.20 0.23 0.22 0.06 0.01  butcher
 0.20 0.37 0.43  he
 0.20 0.08 0.18 0.24 0.21 0.07 0.02  heeded
 0.09 0.13 0.35 0.26 0.16  them
 0.07 0.47 0.46  he
 0.12 0.09 0.22 0.37 0.14 0.06  wrote
 0.08 0.16 0.29 0.30 0.17  with
 0.48 0.52  a
 0.32 0.17 0.28 0.23  pen
 0.32 0.45 0.24  in
 0.24 0.19 0.25 0.25 0.07  each
 0.00 0.00 0.02 0.18 0.20 0.31 0.22 0.06 0.01 0.00  explained
 0.12 0.24 0.37 0.27  all
 0.23 0.26 0.24 0.27  the
 0.15 0.10 0.21 0.32 0.19 0.03  while
 0.22 0.48 0.30  in
 0.56 0.44  a
 0.23 0.13 0.09 0.17 0.16 0.19 0.03 0.00  popular
 0.04 0.32 0.40 0.24  the
 0.08 0.06 0.17 0.33 0.25 0.11 0.00  beaver
 0.07 0.05 0.23 0.38 0.19 0.08  could
 0.12 0.10 0.36 0.26 0.17  well

 Refixation probability distributions:
 0.00 1.00 0.38 0.09 0.08 0.21 0.64 1.00  beavers
 1.00 0.50 0.11 0.15 0.21 0.29 0.50  lesson
 0.57 0.14 0.14 0.15 0.00  part
 0.00 0.50 0.25 0.08 0.08 0.57 0.67  beaver
 0.08 0.05 0.08 0.08  had
 0.77 0.43 0.33 0.21 0.08 0.14 0.67 0.00  counted
 0.17 0.00 0.10 0.00 0.27  with
