file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
41,6,,207,9102,,44.79893235071806,46.15607520786092,96.1775604686319,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.2222222222222222,27,177.98286090969017
41,7,,207,8034,,48.36542207792207,49.910876623376616,74.70941558441558,0.7857142857142857,0.42857142857142855,0.35714285714285715,0.21428571428571427,28,209.1112770724421
42,3,,207,12709,,44.96575795998873,45.319604113834885,113.21881515919975,0.8666666666666667,0.3,0.5666666666666667,0.13333333333333333,30,141.6319143913762
42,2,,207,12473,,54.85749007936508,56.871378968253964,146.86617063492065,0.75,0.09375,0.65625,0.25,32,153.9324941874449
42,4,,207,9329,,83.13222912353348,84.00179434092477,129.94775707384403,0.71875,0.34375,0.375,0.28125,32,205.80984028298852
42,5,,207,8448,,60.849134199134205,61.66731601731602,127.67288961038963,0.6875,0.1875,0.5,0.3125,32,227.27272727272725
42,6,,207,9710,,56.35208333333333,61.08124999999999,111.46200396825395,0.7058823529411765,0.20588235294117646,0.5,0.29411764705882354,34,210.0926879505664
42,7,,207,9787,,49.10892857142857,49.10892857142857,130.03464285714284,0.625,0.21875,0.40625,0.375,32,196.17860427097168
41,3,,212,9524,,60.7466836734694,62.19311224489797,108.01743197278911,0.8235294117647058,0.38235294117647056,0.4411764705882353,0.17647058823529413,34,214.1957160856783
41,2,,212,15858,,58.29602233515276,59.50946107033062,176.25110420979988,0.92,0.12,0.8,0.08,25,94.58948164964055
41,4,,212,7466,,44.130317460317464,45.24281746031746,99.32138888888889,0.6896551724137931,0.1724137931034483,0.5172413793103449,0.3103448275862069,29,233.05652290383068
41,5,,212,9051,,55.902232142857144,58.81889880952381,109.24583333333332,0.7058823529411765,0.3235294117647059,0.38235294117647056,0.29411764705882354,34,225.38945972820682
41,6,,212,8712,,49.729791666666664,50.80479166666667,97.18805555555555,0.7407407407407407,0.18518518518518517,0.5555555555555556,0.25925925925925924,27,185.95041322314052
41,7,,212,13351,,62.49176587301588,64.37197420634921,119.875,0.8571428571428571,0.25,0.6071428571428571,0.14285714285714285,28,125.83327091603624
42,3,,212,12099,,45.53272048464357,45.53272048464357,120.45400817131586,0.8666666666666667,0.2,0.6666666666666666,0.13333333333333333,30,148.77262583684603
42,2,,212,8689,,64.49466873706004,64.49466873706004,118.0914596273292,0.71875,0.3125,0.40625,0.28125,32,220.9690413166072
42,4,,212,8058,,51.95611772486772,53.42023809523809,79.3640873015873,0.75,0.40625,0.34375,0.25,32,238.27252419955323
42,5,,212,8854,,59.64231150793651,59.64231150793651,117.74494047619048,0.75,0.25,0.5,0.25,32,216.85114072735487
