,file,line,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
36620,62,18,,171,1280,,64.98095238095239,64.98095238095239,118.81428571428573,0.75,0.25,0.5,0.25,0,0
36621,62,19,,171,1035,,41.806060606060605,41.806060606060605,87.48181818181818,0.75,0.0,0.75,0.25,0,0
36622,62,20,,171,1770,,29.605555555555554,29.605555555555554,52.077777777777776,1.0,0.5,0.5,0.0,0,0
36623,62,21,,171,833,,66.25,66.25,152.08333333333331,0.5,0.25,0.25,0.5,0,0
36624,62,22,,171,604,,24.746031746031747,24.746031746031747,30.634920634920633,0.75,0.5,0.25,0.25,0,0
36625,62,23,,171,1221,,67.03333333333333,67.03333333333333,84.33333333333334,1.25,1.0,0.25,-0.25,0,0
36626,62,25,,171,2155,,32.236309523809524,32.236309523809524,65.73333333333333,1.5,0.5,1.0,-0.5,0,0
36627,62,24,,171,1404,,66.54464285714286,66.54464285714286,83.91964285714286,1.0,0.5,0.5,0.0,0,0
36628,61,6,,179,2716,,80.03958333333333,80.03958333333333,114.33888888888889,2.0,1.0,1.0,-1.0,0,0
36629,61,2,,179,3948,,62.38333333333333,62.38333333333333,133.75,1.5,0.5,1.0,-0.5,0,0
36630,61,3,,179,5912,,120.96428571428571,120.96428571428571,373.7738095238095,1.75,0.0,1.75,-0.75,0,0
36631,61,4,,179,4012,,76.28888888888888,76.28888888888888,182.52916666666667,1.5,0.0,1.5,-0.5,0,0
36632,61,5,,179,1697,,47.35,47.35,108.86666666666667,1.0,0.0,1.0,0.0,0,0
36633,61,7,,179,1347,,57.425,57.425,94.96666666666667,1.0,0.5,0.5,0.0,0,0
36634,61,8,,179,1911,,59.03333333333333,59.03333333333333,92.46666666666667,1.0,0.25,0.75,0.0,0,0
36635,61,9,,179,1383,,39.48253968253968,39.48253968253968,103.73650793650795,0.75,0.0,0.75,0.25,0,0
36636,61,10,,179,1821,,64.19931972789117,64.19931972789117,86.49013605442177,1.75,1.0,0.75,-0.75,0,0
36637,61,11,,179,2620,,73.42999999999999,73.42999999999999,123.97999999999999,1.25,0.5,0.75,-0.25,0,0
36638,61,12,,179,3494,,71.17291666666667,71.17291666666667,132.47291666666666,2.0,1.25,0.75,-1.0,0,0
36639,61,13,,179,2519,,48.20277777777778,48.20277777777778,86.48611111111113,1.5,0.5,1.0,-0.5,0,0
36640,61,14,,179,3059,,88.28571428571429,88.28571428571429,184.42857142857142,1.75,1.0,0.75,-0.75,0,0
36641,61,15,,179,3759,,68.45535714285714,68.45535714285714,123.55446428571429,2.0,0.75,1.25,-1.0,0,0
36642,61,16,,179,3412,,75.49722222222222,75.49722222222222,176.20833333333334,1.5,0.75,0.75,-0.5,0,0
36643,61,17,,179,1508,,65.1,65.1,91.75,1.25,0.75,0.5,-0.25,0,0
36644,61,18,,179,3367,,73.0,73.0,148.83928571428572,1.75,0.5,1.25,-0.75,0,0
36645,61,19,,179,3291,,67.40666666666667,67.40666666666667,153.54000000000002,1.25,0.5,0.75,-0.25,0,0
36646,61,20,,179,2814,,76.39503205128206,76.39503205128206,120.56330128205127,1.0,0.25,0.75,0.0,0,0
36647,61,21,,179,1930,,58.86944444444445,58.86944444444445,85.49444444444445,1.5,0.75,0.75,-0.5,0,0
36648,61,22,,179,3683,,60.545748299319726,60.545748299319726,106.39268707482994,1.75,1.0,0.75,-0.75,0,0
36649,61,23,,179,2927,,91.8969696969697,91.8969696969697,175.46969696969694,1.25,0.25,1.0,-0.25,0,0
36650,61,24,,179,2645,,61.74285714285714,61.74285714285714,115.52857142857142,1.75,1.25,0.5,-0.75,0,0
36651,61,1,,179,138,19.714285714285715,19.714285714285715,19.714285714285715,19.714285714285715,0.25,0.25,0.0,0.75,0,0
36652,62,6,,179,3970,,42.00610119047619,42.00610119047619,99.08214285714286,2.0,0.75,1.25,-1.0,0,0
36653,62,1,,179,917,,32.94642857142857,32.94642857142857,86.44642857142857,0.5,0.0,0.5,0.5,0,0
36654,62,2,,179,7860,,38.757936507936506,38.757936507936506,204.01719576719577,1.5,0.25,1.25,-0.5,0,0
36655,62,3,,179,5678,,97.73888888888888,97.73888888888888,299.15000000000003,1.5,0.0,1.5,-0.5,0,0
36656,62,4,,179,4321,,60.30833333333333,60.30833333333333,131.3201388888889,2.0,0.5,1.5,-1.0,0,0
36657,62,7,,179,2270,,42.04666666666667,42.04666666666667,89.80952380952381,1.25,0.25,1.0,-0.25,0,0
36658,62,8,,179,2369,,47.01111111111111,47.01111111111111,74.71249999999999,1.5,0.75,0.75,-0.5,0,0
36659,62,9,,179,879,,61.0,61.0,68.10000000000001,1.0,0.75,0.25,0.0,0,0
36660,62,10,,179,4454,,64.41190476190476,64.41190476190476,166.32142857142858,1.75,0.75,1.0,-0.75,0,0
36661,62,11,,179,5162,,39.839285714285715,39.839285714285715,220.2125,1.0,0.0,1.0,0.0,0,0
36662,62,12,,179,2203,,73.04629629629629,73.04629629629629,79.39814814814815,1.5,1.25,0.25,-0.5,0,0
36663,62,13,,179,853,,41.03968253968254,41.03968253968254,48.37301587301587,0.75,0.5,0.25,0.25,0,0
36664,62,14,,179,3042,,52.97962962962962,52.97962962962962,115.1388888888889,1.5,0.5,1.0,-0.5,0,0
36665,62,15,,179,1016,,40.05555555555556,40.05555555555556,61.5462962962963,0.75,0.25,0.5,0.25,0,0
36666,62,16,,179,3174,,98.51333333333332,98.51333333333332,208.27333333333337,1.25,0.25,1.0,-0.25,0,0
36667,62,17,,179,1395,,65.77083333333333,65.77083333333333,83.8125,1.0,0.5,0.5,0.0,0,0
36668,62,18,,179,1880,,42.12532467532468,42.12532467532468,135.3038961038961,1.0,0.25,0.75,0.0,0,0
36669,62,19,,179,1432,,50.70909090909091,50.70909090909091,104.15757575757577,0.75,0.0,0.75,0.25,0,0
36670,62,20,,179,3311,,51.23888888888889,51.23888888888889,106.29814814814814,0.75,0.25,0.5,0.25,0,0
36671,62,21,,179,1351,,56.15833333333334,56.15833333333334,77.48333333333333,1.25,0.75,0.5,-0.25,0,0
36672,62,23,,179,2774,,74.60416666666666,74.60416666666666,167.45833333333334,1.0,0.25,0.75,0.0,0,0
36673,62,22,,179,1618,,38.0,38.0,77.04761904761904,0.75,0.25,0.5,0.25,0,0
36674,62,24,,179,2702,,67.59523809523809,67.59523809523809,133.39880952380952,1.5,0.75,0.75,-0.5,0,0
36675,62,25,,179,1629,,55.881349206349206,55.881349206349206,66.71468253968254,1.5,1.0,0.5,-0.5,0,0
36676,62,5,,179,689,,57.81111111111111,57.81111111111111,62.24444444444445,0.75,0.5,0.25,0.25,0,0
36677,61,1,,180,1810,,83.08333333333334,83.08333333333334,125.94047619047619,1.0,0.5,0.5,0.0,0,0
