file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
32,6,,010,10150,,53.11777777777778,53.11777777777778,103.11404761904762,0.8333333333333334,0.25,0.5833333333333334,0.16666666666666666,36,212.807881773399
32,7,,010,5197,,52.35579710144928,52.35579710144928,81.72028985507247,0.696969696969697,0.5151515151515151,0.18181818181818182,0.30303030303030304,33,380.9890321339234
32,1,,010,1172,,62.355555555555554,62.355555555555554,69.44444444444444,1.0,0.8,0.2,0.0,5,255.9726962457338
31,3,,011,9356,,65.46058201058202,65.46058201058202,81.01340388007056,0.7941176470588235,0.47058823529411764,0.3235294117647059,0.20588235294117646,34,218.04189824711415
31,2,,011,9028,,53.54663561076604,53.54663561076604,90.03737060041409,0.7931034482758621,0.41379310344827586,0.3793103448275862,0.20689655172413793,29,192.73371732388125
31,4,,011,5941,,54.07821428571428,54.07821428571428,68.53446428571428,0.625,0.4375,0.1875,0.375,32,323.177916175728
31,5,,011,12641,,66.99927536231885,66.99927536231885,121.21195652173911,0.6764705882352942,0.29411764705882354,0.38235294117647056,0.3235294117647059,34,161.37963768689187
31,6,,011,11026,,57.78836996336997,57.78836996336997,87.79191086691085,0.896551724137931,0.41379310344827586,0.4827586206896552,0.10344827586206896,29,157.80881552693634
31,7,,011,14506,,65.69573412698414,65.69573412698414,125.98340419501133,0.8235294117647058,0.3235294117647059,0.5,0.17647058823529413,34,140.63146284296155
31,1,,011,2224,,90.02083333333333,90.02083333333333,154.8125,0.8,0.2,0.6,0.2,5,134.89208633093523
32,4,,011,10303,,54.08116883116883,54.08116883116883,99.85620490620491,0.6285714285714286,0.2571428571428571,0.37142857142857144,0.37142857142857144,35,203.82412889449674
32,2,,011,9725,,50.28477366255144,50.28477366255144,74.66851851851851,0.8181818181818182,0.45454545454545453,0.36363636363636365,0.18181818181818182,33,203.59897172236506
32,3,,011,9465,,64.00455404383976,64.00455404383976,138.3788737717309,0.6774193548387096,0.2903225806451613,0.3870967741935484,0.3225806451612903,31,196.513470681458
32,5,,011,13595,,59.82638888888889,59.82638888888889,157.86666666666665,0.7058823529411765,0.17647058823529413,0.5294117647058824,0.29411764705882354,34,150.05516734093416
32,6,,011,8743,,61.50942028985507,61.50942028985507,85.66438923395445,0.6388888888888888,0.3611111111111111,0.2777777777777778,0.3611111111111111,36,247.05478668649206
32,7,,011,6027,,48.944907407407406,48.944907407407406,84.74398148148148,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.45454545454545453,33,328.52165256346444
32,1,,011,1057,,129.75,129.75,152.75,0.6,0.4,0.2,0.4,5,283.8221381267739
31,1,,012,1587,,55.39814814814815,55.39814814814815,75.76851851851852,0.6,0.4,0.2,0.4,5,189.0359168241966
31,2,,012,10882,,40.20352182539683,40.20352182539683,99.84161706349205,0.8275862068965517,0.3448275862068966,0.4827586206896552,0.1724137931034483,29,159.89707774306194
31,3,,012,5642,,43.89322344322344,43.89322344322344,50.47380952380952,0.7647058823529411,0.6764705882352942,0.08823529411764706,0.23529411764705882,34,361.5739099610067
31,4,,012,6534,,51.8491718426501,51.8491718426501,74.72727743271221,0.71875,0.46875,0.25,0.28125,32,293.84756657483933
31,5,,012,4744,,65.40015432098765,65.40015432098765,79.82067901234569,0.5294117647058824,0.35294117647058826,0.17647058823529413,0.47058823529411764,34,430.0168634064081
31,6,,012,5501,,45.57282913165266,45.57282913165266,68.61820728291318,0.5862068965517241,0.3103448275862069,0.27586206896551724,0.41379310344827586,29,316.30612615888015
31,7,,012,9436,,45.07661904761904,45.07661904761904,85.58398412698415,0.7352941176470589,0.38235294117647056,0.35294117647058826,0.2647058823529412,34,216.19330224671472
